Alan Byer Volvo,13204,13204,NY,"1230 West Genesee Street  Syracuse, NY 13204",6901
Audi Cicero,13039,13039,NY,5885 E. Circle Drive Cicero NY 13039,36337
Audi Cicero,13039,13039,NY,5885 E. Circle Drive Cicero NY 13039,4889
Audi Oneonta,13820,13820,NY,"7517  Highway 23   Oneonta, NY 13820",16139
"Auto Smart, LLC",13760,13760,NY,"8767  Route 17C Endicott, NY 13760",25383
"Auto Smart, LLC",13760,13760,NY,"8767  Route 17C Endicott, NY 13760",19838
Barstow Motors,13676,13676,NY,154 Market Street Potsdam 13676,25244
Barstow Subaru,13676,13676,NY,"154 Market St. ,   Potsdam, NY 13676",16159
Benedict Corporation,13815,13815,NY,4814  Hwy 23 Norwich NY 13815,28046
Benedict Subaru,13815,13815,NY,"4814  Highway 23 ,   Norwich, NY 13815",19809
Bill Cram Chevrolet,13148,13148,NY,"1913 Routes 5 and 20, Seneca Falls, NY 13148",13604
Bill Rapp Buick GMC,13206,13206,NY,"3449 Burnet Avenue, Syracuse, NY, 13206",909
Bill Rapp Buick GMC,13206,13206,NY,"3449 Burnet Avenue, Syracuse, NY, 13206",39638
Bill Rapp Subaru,13206,13206,NY,3446 Burnet Ave Syracuse NY 13206,33314
Bill Rapp Subaru,13206,13206,NY,3446 Burnet Ave Syracuse NY 13206,6463
Binghamton Chrysler Jeep Dodge,13901,13901,NY,"1279 Upper Front St   Binghamton, NY 13901",4145
"Binghamton Chrysler Jeep Dodge, Inc.",13901,13901,NY,1279 Upper Front St Binghamton NY 13901,33763
Blevins Bros.,13669,13669,NY,"5914  Hwy 812   Ogdensburg, NY 13669",16165
Blevins Ford Inc.,13642,13642,NY,"1136 Route 11 South   Gouverneur, NY 13642",25360
Blevins Motors Inc,13676,13676,NY,"6691 St Hwy 56   Potsdam, NY 13676",16036
Blevins Seaway Motors,13662,13662,NY,"98 Center St   Massena, NY 13662",16163
BMW Of Utica,13502,13502,NY,"5712 Horatio St Utica, NY 13502",19699
Botnick Chevrolet,13905,13905,NY,"179 Front Street, Binghamton, NY 13905",18540
Burdick BMW,13039,13039,NY,"5947 E Circle Dr Cicero, NY 13039",10742
Burdick Chevrolet Buick GMC,13039,13039,NY,5885 East Circle Drive Cicero NY 13039,31711
Burdick Chevrolet Buick GMC,13039,13039,NY,5885 East Circle Drive Cicero NY 13039,9314
Burdick Chevrolet Buick GMC,13039,13039,NY,5885 East Circle Drive Cicero NY 13039,12141
Burdick Chevrolet Buick GMC,13039,13039,NY,5885 East Circle Drive Cicero NY 13039,908
Burdick Dodge Chrysler Jeep RAM,13039,13039,NY,"5885 E Circle Dr   Cicero, NY 13039",4142
Burdick Ford,13036,13036,NY,"3004 East Ave Rt 49   Central Square, NY 13036",25251
Burdick Hyundai,13039,13039,NY,"7820 Hogan Drive   Cicero, NY 13039",9491
Burdick Hyundai,13039,13039,NY,"7820 Hogan Drive   Cicero, NY 13039",32138
Burdick Kia,13039,13039,NY,"5885 East Circle Drive   Cicero, NY 13039",10245
Burdick Lexus,13039,13039,NY,5947 E Circle Dr Cicero NY 13039,39877
Burdick Lexus,13039,13039,NY,5947 E Circle Dr Cicero NY 13039,11709
Burdick Lincoln,13039,13039,NY,"5885 East Circle Drive   Cicero, NY 13039",8216
Burdick Mazda,13039,13039,NY,"5885 East Circle Drive   Cicero, NY 13039",5633
Burdick Mazda,13039,13039,NY,"5885 East Circle Drive   Cicero, NY 13039",35789
1455 Coshocton Avenue St.,43050,43050,OH,"1455 Coshocton Avenue St. Mount Vernon, OH 43050",7807
#1 Power GM,43920,43920,OH,15482  Rte 170 East Liverpool OH 43920,27388
